name,location,listed_in(type),online_order,votes,rate,approx_cost(for two people)
Blue Treats 418,Indrapuri,Cafe,No,305,3.5,350
Royal Hub 419,MP Nagar,Desserts,Yes,244,3.9,450
Spice Hub 420,TT Nagar,Quick Bites,Yes,293,3.5,400
Tandoor Hub 421,Kolar Road,Quick Bites,Yes,208,3.8,150
Spice Treats 422,Bairagarh,Buffet,No,199,4.4,750
Green House 423,Kolar Road,Dining,No,108,4.0,500
Saffron Dine 424,MP Nagar,Quick Bites,Yes,207,4.0,300
Spice Dine 425,Bairagarh,Quick Bites,Yes,141,4.0,350
Blue Bistro 426,Indrapuri,Quick Bites,Yes,73,3.4,250
Fusion Kitchen 427,Kolar Road,Dining,No,183,4.1,650
Royal Dine 428,Arera Colony,Casual Dining,Yes,370,4.1,500
Tandoor Cafe 429,Kolar Road,Dining,No,419,3.6,400
Blue Dine 430,MP Nagar,Buffet,No,237,4.3,1250
Tandoor Bistro 431,TT Nagar,Desserts,No,217,4.3,450
Green Bistro 432,Indrapuri,Buffet,No,226,3.6,800
Spice Hub 433,Bairagarh,Casual Dining,Yes,378,3.7,1000
Urban Treats 434,MP Nagar,Cafe,Yes,99,3.7,350
Urban Dine 435,Indrapuri,Cafe,Yes,167,3.7,250
Blue Cafe 436,TT Nagar,Buffet,Yes,148,3.8,1050
Saffron Treats 437,Indrapuri,Cafe,Yes,252,3.5,450
Green Bistro 438,Indrapuri,Quick Bites,Yes,62,3.4,300
Urban Cafe 439,Kolar Road,Buffet,Yes,146,3.5,700
Urban Dine 440,Bairagarh,Quick Bites,No,292,3.9,350
Royal Hub 441,MP Nagar,Casual Dining,Yes,239,3.5,550
Blue Corner 442,Kolar Road,Desserts,Yes,52,3.7,450
Royal Kitchen 443,Kolar Road,Desserts,Yes,62,3.6,500
Fusion House 444,Arera Colony,Casual Dining,Yes,157,4.0,450
Urban Corner 445,Indrapuri,Desserts,Yes,209,3.6,500
Saffron Bistro 446,Kolar Road,Quick Bites,No,234,3.3,150
Fusion Treats 447,Kolar Road,Buffet,No,118,3.9,750
Urban Cafe 448,TT Nagar,Casual Dining,Yes,347,3.8,950
Spice Hub 449,Bairagarh,Cafe,Yes,303,4.0,300
Blue Cafe 450,Indrapuri,Desserts,No,222,3.3,450
Royal Cafe 451,Indrapuri,Quick Bites,Yes,130,4.2,200
Spice Hub 452,Arera Colony,Cafe,No,282,3.6,500
Blue Dine 453,TT Nagar,Cafe,No,94,3.5,500
Tandoor Corner 454,Bairagarh,Desserts,Yes,43,4.2,450
Saffron Cafe 455,Indrapuri,Quick Bites,Yes,96,4.1,400
Blue Dine 456,Indrapuri,Dining,Yes,415,3.7,800
Royal Corner 457,Indrapuri,Dining,Yes,391,3.9,700
Saffron Dine 458,TT Nagar,Dining,Yes,323,4.2,700
Tandoor Corner 459,Kolar Road,Dining,Yes,331,4.1,400
Royal Corner 460,TT Nagar,Cafe,Yes,224,3.7,400
Urban House 461,Indrapuri,Quick Bites,Yes,253,3.9,400
Spice Bistro 462,Arera Colony,Buffet,No,179,3.7,1400
Spice Bistro 463,MP Nagar,Quick Bites,No,147,4.0,250
Fusion Kitchen 464,Kolar Road,Dining,No,220,3.6,800
Saffron Cafe 465,TT Nagar,Quick Bites,Yes,235,3.6,350
Fusion Dine 466,Kolar Road,Cafe,Yes,192,4.2,550
Blue Kitchen 467,Indrapuri,Dining,Yes,372,4.1,500
Green House 468,Kolar Road,Cafe,Yes,70,4.4,600
Spice Treats 469,MP Nagar,Casual Dining,No,377,4.2,600
Blue Corner 470,Indrapuri,Buffet,No,268,3.7,850
Fusion Corner 471,TT Nagar,Cafe,Yes,263,4.0,200
Tandoor Corner 472,Kolar Road,Quick Bites,Yes,291,3.2,250
Tandoor Corner 473,Kolar Road,Casual Dining,No,222,3.5,900
Spice Hub 474,TT Nagar,Cafe,Yes,131,4.2,550
Blue Corner 475,Indrapuri,Desserts,Yes,228,3.3,450
Tandoor House 476,TT Nagar,Cafe,Yes,303,4.4,550
Blue Bistro 477,TT Nagar,Buffet,No,96,3.6,1100
Blue Bistro 478,TT Nagar,Cafe,No,105,3.6,300
Blue Hub 479,Kolar Road,Casual Dining,Yes,369,3.6,450
Spice Cafe 480,Indrapuri,Desserts,No,168,3.4,500
Blue Hub 481,Arera Colony,Desserts,No,78,3.5,250
Saffron Treats 482,MP Nagar,Buffet,No,233,3.5,700
Tandoor Bistro 483,Kolar Road,Desserts,Yes,41,3.8,250
Royal Treats 484,Arera Colony,Cafe,Yes,282,4.1,400
Fusion Hub 485,Arera Colony,Desserts,Yes,91,4.1,150
Green Kitchen 486,TT Nagar,Buffet,Yes,237,3.6,1300
Blue Bistro 487,Arera Colony,Buffet,No,200,3.6,650
Blue Corner 488,Indrapuri,Dining,No,385,3.8,750
Royal Dine 489,Indrapuri,Casual Dining,Yes,166,3.5,750
Green House 490,TT Nagar,Dining,No,188,4.0,800
Urban Dine 491,TT Nagar,Cafe,Yes,79,3.8,550
Spice Kitchen 492,TT Nagar,Buffet,Yes,264,3.3,1300
Saffron Treats 493,Indrapuri,Dining,Yes,209,3.7,450
Spice Corner 494,Indrapuri,Cafe,Yes,198,4.1,550
Saffron Cafe 495,Bairagarh,Cafe,Yes,120,3.7,250
Green House 496,Kolar Road,Desserts,No,91,3.7,350
Royal Kitchen 497,Bairagarh,Buffet,No,103,4.1,1100
Green Kitchen 498,Arera Colony,Buffet,No,78,4.2,1300
Royal Cafe 499,Bairagarh,Desserts,Yes,225,3.4,300
Green Treats 500,Kolar Road,Casual Dining,Yes,95,3.4,550
Tandoor Cafe 1,MP Nagar,Dining,No,398,3.8,900
Fusion Treats 2,MP Nagar,Quick Bites,Yes,86,3.2,150
Spice Treats 3,TT Nagar,Desserts,Yes,141,3.6,350
Urban Dine 4,Arera Colony,Desserts,Yes,114,3.6,200
Blue Kitchen 5,TT Nagar,Casual Dining,Yes,306,3.8,750
Fusion Cafe 6,Indrapuri,Quick Bites,Yes,296,3.5,400
Saffron Treats 7,Bairagarh,Buffet,No,56,3.9,1400
Spice Cafe 8,TT Nagar,Cafe,Yes,300,3.6,300
Fusion Treats 9,TT Nagar,Dining,No,359,3.5,700
Blue Treats 10,Indrapuri,Casual Dining,Yes,220,4.2,350
Royal Treats 11,Bairagarh,Dining,No,264,4.2,550
Fusion Treats 12,Bairagarh,Casual Dining,No,324,4.2,900
Spice Corner 13,Kolar Road,Casual Dining,No,120,3.8,900
Fusion Bistro 14,Indrapuri,Buffet,No,172,4.3,1250
Fusion Dine 15,Arera Colony,Buffet,Yes,269,3.8,1050
Urban Kitchen 16,Indrapuri,Dining,No,122,3.9,500
Urban Kitchen 17,Bairagarh,Cafe,No,242,3.6,350
Fusion Bistro 18,Bairagarh,Casual Dining,Yes,371,3.4,950
Blue Cafe 19,Indrapuri,Casual Dining,No,139,4.2,950
Saffron Hub 20,MP Nagar,Buffet,No,100,3.7,700
Urban Kitchen 21,Kolar Road,Desserts,Yes,237,4.3,150
Fusion Dine 22,TT Nagar,Quick Bites,Yes,211,4.1,350
Royal Bistro 23,Bairagarh,Desserts,Yes,151,4.0,400
Green Cafe 24,Bairagarh,Quick Bites,Yes,145,3.8,200
Spice Treats 25,TT Nagar,Dining,Yes,444,3.9,300
Green Bistro 26,MP Nagar,Cafe,Yes,155,3.8,400
Saffron Cafe 27,Indrapuri,Quick Bites,Yes,221,3.3,350
Saffron Corner 28,Indrapuri,Desserts,Yes,172,3.8,200
Blue Cafe 29,MP Nagar,Quick Bites,Yes,92,4.1,450
Saffron Bistro 30,Arera Colony,Buffet,No,90,3.7,1300
Green Cafe 31,Bairagarh,Quick Bites,No,154,3.7,400
Royal Cafe 32,Kolar Road,Buffet,Yes,161,3.5,1300
Tandoor Bistro 33,TT Nagar,Dining,No,339,3.5,350
Tandoor Bistro 34,Kolar Road,Buffet,No,53,3.8,1400
Saffron Kitchen 35,Arera Colony,Buffet,Yes,55,3.6,700
Tandoor Dine 36,Indrapuri,Casual Dining,No,89,4.3,650
Green Treats 37,Indrapuri,Quick Bites,No,106,3.9,400
Blue Hub 38,Kolar Road,Casual Dining,No,252,3.4,800
Blue Dine 39,Kolar Road,Dining,No,142,3.5,750
Spice Dine 40,MP Nagar,Buffet,No,234,4.4,750
Urban Cafe 41,Arera Colony,Quick Bites,Yes,226,3.8,250
Saffron Bistro 42,Kolar Road,Dining,No,273,3.5,750
Green Bistro 43,MP Nagar,Casual Dining,No,347,4.1,750
Royal House 44,Arera Colony,Buffet,Yes,188,3.8,850
Royal Cafe 45,MP Nagar,Buffet,No,216,4.3,1150
Tandoor Dine 46,Arera Colony,Buffet,No,52,4.0,850
Spice House 47,TT Nagar,Desserts,Yes,78,4.3,350
Tandoor House 48,Bairagarh,Casual Dining,No,245,4.2,750
Fusion Treats 49,Bairagarh,Buffet,No,279,4.2,1200
Green Bistro 50,TT Nagar,Buffet,No,174,4.3,950
Saffron Kitchen 51,TT Nagar,Quick Bites,Yes,198,3.5,250
Urban Kitchen 52,Bairagarh,Cafe,Yes,217,4.0,400
Royal Cafe 53,Arera Colony,Desserts,Yes,139,3.7,300
Spice House 54,MP Nagar,Buffet,No,125,3.9,950
Saffron House 55,TT Nagar,Cafe,Yes,305,4.4,400
Royal Kitchen 56,MP Nagar,Quick Bites,Yes,119,3.3,200
Spice Dine 57,Arera Colony,Quick Bites,Yes,155,3.7,450
Green Bistro 58,Arera Colony,Quick Bites,No,293,3.2,150
Blue Corner 59,TT Nagar,Desserts,Yes,161,4.3,200
Green Dine 60,TT Nagar,Quick Bites,No,221,3.2,150
Blue Corner 61,TT Nagar,Desserts,Yes,123,3.8,450
Tandoor Treats 62,Indrapuri,Buffet,No,100,4.2,800
Tandoor Dine 63,Indrapuri,Casual Dining,No,372,3.7,500
Royal Hub 64,Kolar Road,Desserts,Yes,70,3.7,400
Royal Corner 65,MP Nagar,Buffet,No,86,3.9,750
Blue Treats 66,TT Nagar,Buffet,No,55,3.9,950
Saffron Dine 67,Arera Colony,Casual Dining,No,323,4.3,1000
Green Hub 68,Kolar Road,Casual Dining,No,100,4.3,550
Blue Corner 69,MP Nagar,Dining,No,409,3.9,800
Tandoor Kitchen 70,Arera Colony,Desserts,No,202,3.4,300
Spice House 71,Indrapuri,Buffet,No,209,4.0,700
Green Kitchen 72,Arera Colony,Quick Bites,Yes,157,4.1,200
Royal Corner 73,Arera Colony,Quick Bites,Yes,113,3.2,250
Spice Bistro 74,Bairagarh,Desserts,No,99,4.4,400
Tandoor Dine 75,Kolar Road,Casual Dining,Yes,315,3.6,700
Spice Treats 76,MP Nagar,Buffet,Yes,257,3.7,1350
Green Dine 77,Kolar Road,Desserts,Yes,227,3.7,250
Spice Hub 78,Arera Colony,Quick Bites,No,197,4.2,450
Tandoor Treats 79,Kolar Road,Dining,No,264,3.4,900
Blue Hub 80,TT Nagar,Cafe,Yes,169,3.4,300
Saffron Bistro 81,Bairagarh,Cafe,Yes,198,4.3,550
Royal Dine 82,Kolar Road,Desserts,No,140,3.9,450
Royal Bistro 83,TT Nagar,Cafe,Yes,91,4.3,200
Blue Bistro 84,MP Nagar,Buffet,No,188,4.1,750
Royal Bistro 85,TT Nagar,Desserts,Yes,87,4.0,350
Fusion Kitchen 86,Kolar Road,Casual Dining,Yes,256,4.3,450
Saffron Bistro 87,Kolar Road,Desserts,Yes,170,3.3,150
Urban Dine 88,Bairagarh,Dining,No,437,4.1,550
Spice Bistro 89,Bairagarh,Buffet,Yes,259,3.4,1300
Green Bistro 90,MP Nagar,Desserts,Yes,166,3.5,250
Saffron Hub 91,Indrapuri,Quick Bites,No,152,4.2,450
Fusion Treats 92,Arera Colony,Casual Dining,No,178,4.1,450
Tandoor Bistro 93,Arera Colony,Dining,Yes,408,3.7,750
Royal Corner 94,Kolar Road,Dining,No,283,3.2,850
Blue Dine 95,Indrapuri,Desserts,No,67,4.2,450
Tandoor Treats 96,Indrapuri,Cafe,Yes,84,4.4,550
Tandoor Corner 97,TT Nagar,Quick Bites,Yes,284,3.5,400
Urban Corner 98,Kolar Road,Quick Bites,Yes,66,3.2,350
Urban Hub 99,TT Nagar,Quick Bites,No,278,3.8,400
Royal Dine 100,MP Nagar,Dining,Yes,280,3.3,850
Spice Kitchen 101,TT Nagar,Buffet,No,242,4.0,700
Tandoor Bistro 102,Kolar Road,Casual Dining,No,193,3.7,850
Green Hub 103,MP Nagar,Casual Dining,No,230,3.8,850
Royal Treats 104,MP Nagar,Cafe,No,303,4.0,450
Spice Treats 105,MP Nagar,Quick Bites,Yes,62,3.7,200
Green Dine 106,Kolar Road,Buffet,No,271,4.1,650
Royal Cafe 107,Bairagarh,Buffet,No,105,3.9,1150
Fusion Hub 108,Arera Colony,Cafe,No,272,3.8,200
Green Kitchen 109,Kolar Road,Cafe,No,146,4.0,400
Blue Bistro 110,Arera Colony,Dining,Yes,403,4.1,900
Fusion Kitchen 111,Kolar Road,Dining,No,435,3.7,850
Spice House 112,TT Nagar,Casual Dining,No,316,3.4,450
Urban Corner 113,MP Nagar,Cafe,Yes,82,3.9,350
Royal House 114,Indrapuri,Dining,No,357,3.6,850
Fusion Cafe 115,MP Nagar,Desserts,Yes,145,3.7,200
Royal Bistro 116,MP Nagar,Desserts,Yes,91,3.9,300
Blue Bistro 117,Indrapuri,Desserts,Yes,128,3.4,200
Green Treats 118,TT Nagar,Quick Bites,Yes,210,3.3,400
Royal Kitchen 119,Indrapuri,Dining,Yes,437,3.7,750
Tandoor Dine 120,Arera Colony,Casual Dining,No,372,3.3,600
Urban Hub 121,MP Nagar,Cafe,No,151,3.7,450
Spice Dine 122,TT Nagar,Dining,Yes,314,3.8,550
Fusion Bistro 123,Bairagarh,Casual Dining,No,314,3.4,500
Blue Bistro 124,Indrapuri,Dining,No,90,3.7,600
Saffron Kitchen 125,Indrapuri,Cafe,Yes,109,3.7,350
Urban Hub 126,Kolar Road,Desserts,Yes,153,4.1,300
Fusion Hub 127,Indrapuri,Buffet,No,130,4.2,700
Spice House 128,MP Nagar,Quick Bites,No,195,3.9,350
Tandoor Bistro 129,Arera Colony,Cafe,Yes,125,4.1,550
Saffron House 130,Bairagarh,Quick Bites,Yes,238,3.9,300
Green Bistro 131,Bairagarh,Desserts,Yes,228,4.0,250
Royal Hub 132,TT Nagar,Buffet,No,163,4.4,1250
Spice Corner 133,TT Nagar,Desserts,Yes,192,3.9,450
Saffron House 134,TT Nagar,Buffet,No,186,4.3,1100
Tandoor Dine 135,Indrapuri,Buffet,No,53,3.8,1050
Tandoor House 136,Bairagarh,Desserts,Yes,131,4.2,150
Green House 137,MP Nagar,Dining,No,281,3.7,450
Green Dine 138,Arera Colony,Desserts,Yes,65,3.4,350
Fusion Dine 139,TT Nagar,Dining,No,400,3.3,550
Blue Kitchen 140,Arera Colony,Buffet,No,245,3.7,750
Saffron Cafe 141,TT Nagar,Desserts,Yes,249,3.5,450
Tandoor Bistro 142,Arera Colony,Desserts,Yes,100,3.5,400
Saffron Bistro 143,Arera Colony,Dining,Yes,317,3.7,350
Fusion Kitchen 144,Indrapuri,Desserts,Yes,231,3.4,150
Royal Hub 145,TT Nagar,Desserts,Yes,222,3.9,300
Urban Dine 146,MP Nagar,Desserts,Yes,76,4.0,300
Saffron Cafe 147,TT Nagar,Buffet,No,242,3.4,1250
Blue Dine 148,Indrapuri,Dining,No,376,3.5,850
Saffron Corner 149,Arera Colony,Cafe,Yes,188,4.0,350
Blue House 150,TT Nagar,Desserts,No,226,3.9,250
Blue Corner 151,Kolar Road,Buffet,Yes,205,3.6,800
Tandoor Dine 152,TT Nagar,Quick Bites,No,107,3.8,350
Saffron Treats 153,Bairagarh,Casual Dining,Yes,124,4.4,800
Fusion Dine 154,Bairagarh,Casual Dining,Yes,77,4.1,750
Tandoor Corner 155,Indrapuri,Casual Dining,Yes,281,3.8,950
Blue Kitchen 156,Arera Colony,Dining,No,301,3.5,600
Blue Kitchen 157,MP Nagar,Casual Dining,Yes,109,3.6,400
Tandoor Treats 158,Arera Colony,Casual Dining,No,344,3.9,1000
Blue Bistro 159,Arera Colony,Dining,No,197,3.3,350
Urban Hub 160,Arera Colony,Dining,Yes,367,4.0,600
Tandoor Treats 161,MP Nagar,Desserts,No,146,3.6,300
Royal Hub 162,TT Nagar,Casual Dining,Yes,302,4.4,750
Fusion Bistro 163,Arera Colony,Desserts,Yes,239,3.4,200
Green Corner 164,TT Nagar,Desserts,Yes,199,3.5,300
Blue Kitchen 165,Arera Colony,Cafe,Yes,257,3.5,400
Spice Dine 166,Bairagarh,Dining,No,221,3.8,500
Blue Cafe 167,Kolar Road,Buffet,No,78,4.2,650
Green Treats 168,Bairagarh,Casual Dining,Yes,140,3.5,550
Blue Cafe 169,Indrapuri,Quick Bites,Yes,286,3.5,200
Tandoor Treats 170,Arera Colony,Cafe,No,129,4.1,350
Spice Dine 171,MP Nagar,Quick Bites,No,287,3.8,150
Royal Corner 172,Indrapuri,Buffet,No,252,4.3,1350
Green Corner 173,Arera Colony,Dining,Yes,427,4.1,350
Tandoor Corner 174,Kolar Road,Desserts,Yes,219,4.3,150
Blue Hub 175,Arera Colony,Dining,No,414,3.4,850
Spice Dine 176,MP Nagar,Dining,Yes,243,3.3,800
Saffron Dine 177,Bairagarh,Quick Bites,No,157,3.1,400
Fusion Treats 178,TT Nagar,Casual Dining,Yes,245,4.3,550
Blue Dine 179,Indrapuri,Quick Bites,Yes,86,3.8,150
Fusion Kitchen 180,TT Nagar,Desserts,Yes,160,3.5,500
Saffron Cafe 181,TT Nagar,Desserts,No,131,4.4,300
Green Hub 182,MP Nagar,Dining,No,222,4.3,750
Spice Cafe 183,Arera Colony,Casual Dining,No,340,3.8,550
Royal House 184,TT Nagar,Desserts,Yes,85,3.6,350
Saffron Hub 185,Bairagarh,Buffet,No,72,3.7,1000
Fusion Corner 186,Kolar Road,Cafe,No,182,4.2,600
Urban House 187,TT Nagar,Buffet,No,70,3.8,800
Green Corner 188,Bairagarh,Casual Dining,Yes,302,3.3,650
Blue Cafe 189,TT Nagar,Casual Dining,Yes,307,3.7,400
Saffron Dine 190,Indrapuri,Desserts,Yes,218,4.1,200
Spice Bistro 191,MP Nagar,Casual Dining,No,365,4.3,600
Blue Kitchen 192,TT Nagar,Buffet,No,93,3.9,900
Blue Treats 193,Bairagarh,Desserts,No,229,3.4,450
Blue Corner 194,Indrapuri,Cafe,Yes,260,4.5,500
Saffron Kitchen 195,TT Nagar,Buffet,No,67,3.4,600
Spice Dine 196,TT Nagar,Casual Dining,Yes,80,3.8,350
Urban Treats 197,Arera Colony,Quick Bites,Yes,124,3.6,250
Tandoor Treats 198,Arera Colony,Dining,Yes,239,3.8,800
Fusion Cafe 199,Indrapuri,Desserts,No,142,4.2,200
Saffron House 200,Kolar Road,Buffet,Yes,51,3.5,850
Green Kitchen 201,Arera Colony,Quick Bites,No,47,3.8,100
Blue Bistro 202,Indrapuri,Dining,Yes,306,4.3,750
Urban Dine 203,Kolar Road,Desserts,Yes,191,3.6,150
Royal Hub 204,Indrapuri,Dining,Yes,440,3.3,450
Fusion Treats 205,Arera Colony,Quick Bites,No,300,3.8,200
Royal House 206,Bairagarh,Quick Bites,No,79,3.9,200
Fusion Kitchen 207,MP Nagar,Cafe,No,111,4.0,250
Urban Bistro 208,Bairagarh,Buffet,No,202,4.0,900
Spice Hub 209,Indrapuri,Desserts,No,120,3.6,300
Saffron Hub 210,MP Nagar,Dining,No,129,3.6,700
Royal Dine 211,Bairagarh,Quick Bites,Yes,175,3.7,150
Blue Cafe 212,Indrapuri,Cafe,No,142,3.8,300
Saffron Hub 213,MP Nagar,Casual Dining,No,157,3.9,1000
Spice Bistro 214,TT Nagar,Cafe,Yes,139,4.1,200
Blue Bistro 215,Indrapuri,Casual Dining,Yes,184,4.3,400
Tandoor Kitchen 216,Indrapuri,Casual Dining,Yes,131,3.9,900
Fusion Kitchen 217,Kolar Road,Quick Bites,Yes,106,3.6,400
Urban House 218,MP Nagar,Dining,No,153,3.6,500
Tandoor Hub 219,TT Nagar,Desserts,No,205,3.8,200
Saffron Kitchen 220,TT Nagar,Desserts,Yes,64,4.1,450
Urban Bistro 221,Arera Colony,Desserts,Yes,128,3.7,400
Spice Bistro 222,MP Nagar,Dining,Yes,287,4.3,900
Tandoor House 223,Kolar Road,Desserts,Yes,165,3.6,350
Tandoor Kitchen 224,Arera Colony,Buffet,No,241,3.7,650
Spice Hub 225,MP Nagar,Casual Dining,No,318,4.4,850
Urban Bistro 226,Kolar Road,Dining,Yes,402,3.6,750
Tandoor Kitchen 227,Bairagarh,Buffet,No,217,3.7,1150
Urban Dine 228,Kolar Road,Dining,Yes,278,3.3,500
Spice Bistro 229,MP Nagar,Casual Dining,Yes,150,3.4,500
Tandoor Cafe 230,Arera Colony,Dining,Yes,150,3.9,550
Green Corner 231,Arera Colony,Dining,No,350,3.3,500
Saffron Cafe 232,MP Nagar,Quick Bites,Yes,112,3.9,200
Royal House 233,TT Nagar,Cafe,No,253,3.6,450
Fusion Hub 234,Arera Colony,Desserts,Yes,43,3.7,250
Saffron Dine 235,Kolar Road,Buffet,No,115,3.5,1050
Blue Cafe 236,TT Nagar,Desserts,No,197,4.2,450
Blue Corner 237,TT Nagar,Desserts,Yes,143,3.7,300
Fusion Cafe 238,MP Nagar,Casual Dining,No,270,4.1,700
Spice Corner 239,Bairagarh,Buffet,No,166,3.3,1000
Tandoor Hub 240,Kolar Road,Dining,No,196,3.4,800
Royal Hub 241,Bairagarh,Casual Dining,No,307,3.4,1000
Saffron Corner 242,Kolar Road,Quick Bites,Yes,201,4.0,150
Fusion Bistro 243,Arera Colony,Cafe,Yes,185,4.3,250
Saffron Kitchen 244,Indrapuri,Desserts,Yes,168,4.0,350
Urban Hub 245,TT Nagar,Buffet,No,64,3.8,1150
Spice House 246,Bairagarh,Cafe,Yes,152,3.4,500
Fusion Hub 247,Bairagarh,Quick Bites,Yes,299,3.2,100
Fusion Hub 248,TT Nagar,Dining,Yes,170,4.0,450
Spice Treats 249,Arera Colony,Cafe,No,277,4.5,250
Blue Corner 250,MP Nagar,Quick Bites,No,118,3.2,300
Royal Corner 251,Kolar Road,Casual Dining,Yes,309,4.2,650
Saffron Corner 252,MP Nagar,Desserts,Yes,93,3.4,400
Fusion Bistro 253,Arera Colony,Desserts,Yes,218,3.7,250
Blue Treats 254,TT Nagar,Buffet,No,218,3.7,750
Tandoor Bistro 255,Arera Colony,Casual Dining,No,372,3.9,550
Royal Cafe 256,MP Nagar,Cafe,Yes,262,4.0,500
Royal Treats 257,Arera Colony,Cafe,Yes,156,4.5,250
Blue Treats 258,Arera Colony,Cafe,Yes,74,4.4,550
Tandoor Bistro 259,Bairagarh,Cafe,Yes,311,3.7,350
Tandoor Treats 260,Bairagarh,Desserts,Yes,160,3.4,350
Blue Dine 261,MP Nagar,Cafe,Yes,77,4.2,550
Tandoor Kitchen 262,Arera Colony,Buffet,Yes,145,4.0,1350
Saffron Kitchen 263,Bairagarh,Buffet,No,142,4.2,1150
Tandoor Kitchen 264,Arera Colony,Buffet,No,118,4.1,950
Blue Cafe 265,Arera Colony,Dining,Yes,201,3.3,700
Spice Corner 266,TT Nagar,Desserts,Yes,222,4.2,400
Urban Dine 267,TT Nagar,Quick Bites,No,260,3.2,150
Spice Cafe 268,Bairagarh,Dining,No,252,4.0,600
Blue Hub 269,Arera Colony,Buffet,No,140,4.3,950
Green Bistro 270,Arera Colony,Casual Dining,Yes,157,3.7,950
Spice Bistro 271,TT Nagar,Casual Dining,No,351,4.0,1000
Spice Corner 272,Bairagarh,Casual Dining,No,197,4.3,650
Green Treats 273,TT Nagar,Cafe,Yes,255,4.1,600
Tandoor Cafe 274,Indrapuri,Desserts,Yes,113,3.5,400
Blue Kitchen 275,Kolar Road,Buffet,No,205,3.9,1350
Tandoor Dine 276,Bairagarh,Desserts,No,151,4.1,200
Royal Corner 277,Kolar Road,Buffet,No,161,3.4,1150
Green Corner 278,Arera Colony,Desserts,Yes,142,3.4,350
Tandoor Kitchen 279,Indrapuri,Desserts,Yes,113,3.5,500
Urban Corner 280,TT Nagar,Desserts,Yes,59,3.8,200
Green Kitchen 281,Indrapuri,Buffet,No,165,3.8,800
Saffron Cafe 282,Bairagarh,Casual Dining,Yes,209,3.4,800
Green Corner 283,Arera Colony,Dining,No,298,3.9,600
Green Cafe 284,Kolar Road,Desserts,Yes,189,4.1,350
Saffron Cafe 285,Bairagarh,Buffet,Yes,164,4.3,950
Fusion Cafe 286,Indrapuri,Desserts,Yes,216,3.6,350
Blue Cafe 287,MP Nagar,Desserts,No,43,3.5,300
Tandoor Bistro 288,TT Nagar,Quick Bites,No,56,4.0,300
Fusion Treats 289,Bairagarh,Casual Dining,Yes,318,3.7,900
Blue Hub 290,TT Nagar,Desserts,Yes,192,3.8,500
Tandoor Treats 291,Kolar Road,Buffet,No,52,4.1,950
Green Hub 292,Indrapuri,Buffet,Yes,189,4.1,1100
Green Cafe 293,Indrapuri,Buffet,No,116,4.2,1150
Urban Treats 294,Indrapuri,Desserts,Yes,91,3.7,300
Green Bistro 295,Arera Colony,Dining,Yes,124,3.7,450
Spice House 296,Kolar Road,Quick Bites,Yes,61,3.4,150
Fusion Treats 297,Bairagarh,Desserts,No,244,3.7,300
Fusion Cafe 298,Arera Colony,Buffet,Yes,270,3.7,1200
Green House 299,MP Nagar,Cafe,Yes,306,4.4,350
Urban Corner 300,MP Nagar,Buffet,No,80,3.4,1200
Fusion Treats 301,MP Nagar,Cafe,Yes,306,4.2,550
Fusion Cafe 302,Kolar Road,Buffet,No,100,3.5,700
Blue Dine 303,MP Nagar,Cafe,No,309,3.9,300
Fusion Corner 304,Kolar Road,Cafe,No,66,3.7,200
Saffron Corner 305,MP Nagar,Quick Bites,Yes,203,4.2,200
Blue House 306,MP Nagar,Dining,No,127,4.2,800
Urban Corner 307,TT Nagar,Cafe,Yes,230,4.3,350
Urban Dine 308,Bairagarh,Buffet,No,93,4.2,1100
Royal Dine 309,TT Nagar,Dining,No,92,4.1,600
Royal Hub 310,Kolar Road,Casual Dining,No,110,4.2,750
Saffron Dine 311,Bairagarh,Cafe,Yes,90,3.6,250
Tandoor Bistro 312,Bairagarh,Dining,No,283,3.6,900
Saffron Kitchen 313,Kolar Road,Buffet,No,259,4.0,850
Spice Kitchen 314,Indrapuri,Dining,Yes,277,3.6,650
Fusion Bistro 315,TT Nagar,Buffet,Yes,266,3.6,1150
Green Kitchen 316,MP Nagar,Quick Bites,Yes,220,3.4,150
Royal House 317,MP Nagar,Quick Bites,Yes,181,3.3,300
Spice Hub 318,Arera Colony,Quick Bites,No,110,3.3,350
Tandoor House 319,Kolar Road,Buffet,No,263,3.6,850
Fusion Corner 320,Kolar Road,Buffet,No,70,4.0,1200
Tandoor House 321,TT Nagar,Buffet,No,92,4.0,1150
Fusion Kitchen 322,TT Nagar,Dining,Yes,288,3.3,500
Fusion House 323,Arera Colony,Casual Dining,No,299,3.7,750
Spice Dine 324,Indrapuri,Quick Bites,Yes,253,3.2,200
Green Treats 325,Indrapuri,Casual Dining,Yes,244,3.6,900
Royal Dine 326,Indrapuri,Casual Dining,Yes,191,3.8,850
Spice Kitchen 327,Bairagarh,Cafe,Yes,256,4.5,450
Green Bistro 328,Indrapuri,Desserts,Yes,111,3.7,400
Green Hub 329,TT Nagar,Buffet,No,52,3.6,700
Blue Cafe 330,Indrapuri,Dining,Yes,125,3.5,450
Tandoor Cafe 331,Kolar Road,Cafe,Yes,98,3.8,550
Fusion Hub 332,Indrapuri,Buffet,No,141,4.0,750
Spice Dine 333,Bairagarh,Desserts,No,222,3.4,400
Tandoor House 334,Bairagarh,Casual Dining,Yes,150,3.9,400
Fusion Kitchen 335,Bairagarh,Desserts,Yes,62,3.8,400
